"","model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"2467","X1",2019,25780,"Semi-Auto",4224,"Diesel",145,60.1,2
"2468","3 Series",2019,27480,"Manual",4398,"Diesel",145,54.3,2
"2469","2 Series",2020,21890,"Semi-Auto",11,"Petrol",150,50.4,1.5
"2470","3 Series",2019,26498,"Semi-Auto",17794,"Diesel",145,48.7,2
"2471","1 Series",2016,11491,"Manual",36200,"Diesel",0,83.1,1.5
"2472","1 Series",2013,15991,"Semi-Auto",50039,"Petrol",235,37.7,3
"2473","3 Series",2015,15991,"Semi-Auto",48000,"Diesel",150,53.3,3
"2474","5 Series",2018,29991,"Semi-Auto",12000,"Diesel",150,60.1,3
"2475","4 Series",2015,15991,"Manual",28000,"Petrol",165,44.8,2
"2476","X3",2019,33990,"Semi-Auto",3440,"Diesel",150,54.3,2
"2477","X3",2019,38990,"Semi-Auto",5656,"Diesel",150,36.7,3
"2478","3 Series",2020,30940,"Semi-Auto",1586,"Diesel",150,50.4,2
"2479","2 Series",2019,22990,"Manual",8567,"Diesel",150,51.4,2
"2480","1 Series",2020,29950,"Semi-Auto",3422,"Diesel",150,48.7,2
"2481","3 Series",2017,20990,"Semi-Auto",6971,"Diesel",125,60.1,2
"2482","X1",2017,19990,"Semi-Auto",18754,"Diesel",150,65.7,2
"2483","Z4",2020,33850,"Semi-Auto",5,"Petrol",150,38.7,2
"2484","3 Series",2014,13990,"Semi-Auto",29046,"Diesel",30,62.8,2
"2485","2 Series",2017,18990,"Semi-Auto",31208,"Diesel",150,65.7,2
"2486","M4",2020,48950,"Semi-Auto",17,"Petrol",150,32.5,3
"2487","5 Series",2020,26990,"Semi-Auto",14,"Petrol",150,50.4,2
"2488","2 Series",2016,14490,"Semi-Auto",40115,"Diesel",30,64.2,2
"2489","3 Series",2015,13990,"Semi-Auto",45116,"Petrol",150,47.9,2
"2490","5 Series",2019,32990,"Semi-Auto",4716,"Diesel",150,53.3,3
"2491","2 Series",2019,20840,"Semi-Auto",6050,"Petrol",150,50.4,1.5
